text,label
美媒：美国将向乌克兰提供至少2.75亿美元武器,2
台风“三连击”已致菲律宾9人死亡 逾282万人受灾,0
俄乌战事延宕千日 美国继续火上浇油,0
黎以停火谈判现进展 以总理释放强硬信号,1
飓风过后，拜登寻求国会批准近千亿美元救灾资金,1
英国王室行宫温莎城堡地界内发生盗窃案,0
欧元金融周“中国日”活动在法兰克福举办,2
日本再度暴发禽流感疫情 将扑杀1.5万只鸡,0
担忧局势升级 北欧三国发放战时应急手册,0
俄媒：俄罗斯首次量产可防核爆影响的移动庇护所,2
克宫：俄罗斯愿与美国关系正常化 但不会“独自跳探戈”,1
网络诈骗猖獗 泰国政府开发防诈平台应对,0
韩铁道工会发起怠工致部分线路延误,0
黎巴嫩首都贝鲁特市中心再遭袭 已致5死24伤,0
二十国集团宣布启动“抗击饥饿与贫困全球联盟”,2
厄瓜多尔因森林火灾和干旱进入全国紧急状态,0
要求驻军美国“讲平等”or“做文章”？,1
美国准许乌克兰用美制武器打击俄罗斯纵深,0
德国总理朔尔茨面临党内“让贤”压力,0
以色列中部发生汽车爆炸事件 致1死1伤,0
土耳其官员：已拒绝允许以总统飞机通过其领空,0
APEC“全家福”少了日本首相石破茂，原因为何？,1
加入北约以来首次 芬兰举行大规模炮兵演习,1
美媒：与特朗普形影不离 马斯克扮演美国“第一兄弟”角色,2
加蓬内政部长说新宪法获得大多数选民支持,2
以色列空袭贝鲁特致真主党媒体负责人死亡,0
日本鹿儿岛县近海发生6级地震 多地有强烈震感,0
一油轮出现故障 土耳其博斯普鲁斯海峡双向交通暂停,0
乌国家电力公司：乌克兰全境18日将采取限电措施,0
为开创亚太发展新时代指明前行方向,2
胡塞武装说袭击以色列一处重要目标,0
伊拉克军方打死4名“伊斯兰国”武装分子,2
美国10月零售销售额环比增长0.4% 高于市场预期,2
欧盟称经济恢复温和增长但变数和风险增加,1
普京同德国总理朔尔茨通电话,1
斯里兰卡国家人民力量党在议会选举中胜出,2
韩国最大在野党党首李在明被判有期徒刑1年,0
世卫组织：全球糖尿病患者人数超8亿 逾半数未得到治疗,0
特朗普提名小肯尼迪等多名人选出任重要职位,1
日媒：驻日美军计划将司令部搬到东京市中心,1
联合国对黎以持续交火表示严重关切,0
美媒：“打破数十年传统”！特朗普夫人拒绝了拜登夫人,1
7.97亿欧元！欧盟对美国Meta公司开出巨额罚单,0
欢送大熊猫“网网”“福妮”活动在南澳大利亚州举行,2
美国共和党守住众议院多数地位 将掌控参众两院,2
加拿大确认首例人感染H5N1型禽流感病毒病例,0
美共和党获多数席位　将掌控参众两院,2
洪灾两周后　西班牙多地发布暴雨红色预警,0
以色列球迷遇袭风波未止　荷兰警方逮捕数十名抗议者,0
哥斯达黎加因大雨灾害进入全国紧急状态,0
苏丹政府称该国有2890万人需要人道援助,0
法国今年以来共报告203例猴痘病例,0
伊拉克警告中东若爆发全面战争将引发严重后果,0
以色列空袭黎巴嫩致11人死亡,0
美国大选后韩元快速贬值 韩国政府采取口头介入措施,0
德总理朔尔茨与乌总统泽连斯基通电话 就乌军事和人道主义局势交流,2
泽连斯基签署法令 对俄白部分机构和个人实施制裁,0
研究表明：全球有超过8亿成年人患有糖尿病,0
美媒：特朗普刑事案特别检察官或将辞职,0
西班牙再遭强降雨袭击 数千人被疏散多地交通中断,0
特朗普见拜登长达90分钟 气氛融洽？,2
南非足协主席丹尼·乔丹因涉嫌挪用公款被捕,0
哥斯达黎加因大雨灾害进入全国紧急状态,0
埃尔多安：土耳其已断绝与以色列的关系,0
苏丹政府决定将阿德雷边境口岸开放期限延长3个月,2
哥斯达黎加因大雨灾害进入全国紧急状态,0
欧盟候任高官：孤立主义从未给美国带来好结果,0
马斯克：“政府效率部”将在网上公布所有行动,2
南非第三季度失业率出炉 今年以来首次下降,2
以防长：目标实现之前 以色列不会在黎巴嫩停火,0
阿富汗发生5.3级地震，震源深度280千米,0
美国国家气象局发布山火警告 纽约实行“禁烧令”,0
世界气象组织：2024年或成有记录以来最热年份,0
伊朗媒体：伊朗和俄罗斯银行支付系统正式连接,2
两名以色列人在黎真主党火箭弹袭击中死亡,0
德国总理将于12月发起信任投票,1
厄瓜多尔一监狱发生暴力事件至少15人死亡,0
两名以色列人在黎真主党火箭弹袭击中死亡,0
降雨难阻火势 美国多地遭遇山火已致1人死亡,0
朔尔茨希望尽快与普京对话 俄罗斯说未收到信号,1
特朗普选定斯蒂芬尼克担任美国常驻联合国代表,1
巴西多方人士寄语巴中友好事业更上层楼,2
韩国百日咳疫情蔓延 已出现首例死亡病例,0
外媒：俄乌相互发动“最大规模”无人机袭击,0
国际深一度：靠网红打“网战”，特朗普胜选“秘诀”离不开他们？,1
海地新任总理菲斯－艾梅宣誓就职,2
荷兰将从12月9日起加强边境检查,1
金正恩批准朝俄《全面战略伙伴关系条约》,2
意大利庞贝古城拟对游客人数设限,1
比特币首次涨逾8万美元,2
历史首次！旺代环球帆船赛迎来中国船长,2
AI搜索引擎重塑信息获取方式,2
海地过渡总统委员会撤换总理,1
再度当选首相　石破茂执政之路面临考验,1
巴基斯坦多地遭遇空气污染,0
内塔尼亚胡地下掩体办公以防无人机袭击,0
荷兰将从12月9日起加强边境检查,1
金正恩批准朝俄《全面战略伙伴关系条约》,2
美媒称普京已与特朗普通话 俄罗斯暂无回应,1
外媒：俄乌相互发动“最大规模”无人机袭击,0
墨西哥当局在一卡车内发现超过250名非法移民,0
石破茂在日本参议院首相指名选举中胜出,2
以色列首次承认制造黎巴嫩通信设备爆炸事件,0
游客少、气温高 韩国滑雪旅游业面临困境,0
加拿大发现首例本土疑似人感染H5型禽流感病毒病例,0
日媒：日本海上自卫队起火扫雷艇倾覆 1人失踪,0
美媒称普京已与特朗普通话 俄罗斯暂无回应,1
古巴地区发生6.8级地震，震源深度20千米,0
欧盟碰头共识难求　援乌立场分歧依旧,0
加拿大发现首例疑似人感染H5型禽流感病例,0
莫斯科三座机场因安全原因实施临时航空管制,0
AI机器人画作拍出逾百万美元,2
新任伦敦金融城市长举行就职巡游,2
卡塔尔暂停斡旋加沙停火　但未退出谈判,0
埃及与马来西亚呼吁实现中东地区和平与安全,2
苏丹中部一村庄遭袭致11人死亡,0
近三年来首次 马斯克身家再度突破3000亿美元,2
泰国旅游业复苏引发酒店业投资热,2
普京批准俄朝《全面战略伙伴关系条约》,2
以色列空袭黎巴嫩东部致20人死亡,0
再创新低！民调：韩国总统尹锡悦施政好评率仅为17%,0
胡塞武装说击落美军无人机并袭击以色列,0
三名中国驻塞浦路斯维和警察被授予联合国和平勋章,2
美军确认已部署多架F-15E战机至美国中央司令部责任区,1
委内瑞拉与俄罗斯签署能源合作协议 联合开发天然气田,2
欧洲政治共同体领导人会议聚焦安全挑战等议题,1
德国总统解除3名自民党籍部长职务,0
外媒：以色列新任国防部长卡茨宣誓就职,1
普京演讲谈俄乌局势：俄罗斯愿意进行和谈,2
一艘渔船在韩国济州岛附近沉没12人失踪,0
美联储下调联邦基金利率目标区间25个基点,2
苏丹民间组织：苏丹中部一城市遭围困至少79人死亡,0
特朗普谈与拜登的通话，称将“很快”一起吃午饭,2
日本福岛核电站核残渣试提取工作完成,1
飓风“拉斐尔”过境古巴全国断电,0
澳大利亚拟禁止16岁以下人群使用社交媒体,1
加沙结束脊灰疫苗接种 一批病人获准离境治疗,1
美国加利福尼亚州南部山火致万人疏散,0
“感谢来自中国的礼物”,2
【国际视野】新研究显示全球变暖与近20年最严重气象灾难存在关联,0
学生们在吉尔吉斯斯坦首都比什凯克的鲁班工坊智慧教室内上课,2
【国际视野】“太阳之光：古蜀与印加文明互鉴展”在秘鲁开幕,2
中国车企在泰国上市首款纯电皮卡,2
这所法国学校里来了中国的武术世界冠军,2
2024巴西中国电影节在里约开幕,2
中国援建的白俄罗斯国际标准游泳馆正式启用,2
塞尔维亚书展上的“中国热”,2
【国际视野】国际研究团队完成家山黧豆染色体级别的参考基因组组装,2
中国特色旅游展亮相2024伦敦世界旅游交易会,2
德国执政联盟破裂 或面临提前大选,0
俄外交部：对美国新当选总统不抱幻想,0
韩总统尹锡悦：不排除直接向乌克兰供武,1
美国总统拜登将于当地时间7日发表全国讲话,1
乌克兰首都基辅凌晨遭无人机袭击 传出爆炸声,0
黎巴嫩真主党说袭击以色列两处军事基地,0
特朗普赢得总统选举　共和党控制参议院,2
哈里斯祝贺特朗普胜选 并呼吁和平权力交接,1
日本火山列岛地区发生5.8级地震 震源深度60千米,0
特朗普接受拜登邀请 将在白宫会面讨论权力交接事宜,1
伊拉克说其领土不会成为发动袭击或还击的跳板,1
德国总理解除林德纳财政部长职务,0
韩国逾九成中小企业尚未使用人工智能技术,0
帝企鹅漂流逾3400公里抵达澳大利亚,2
内塔尼亚胡因“信任危机”解职防长,0
拉夫罗夫：如北约对俄采取侵略行动 俄将全力回应,0
波兰前外长：美欲将支持乌克兰的费用转嫁欧洲,0
中国展区亮相2024年伦敦世界旅游交易会,2
日媒：日本新潟县养鸡场疑似发生高致病性禽流感,0
美媒出口民调：美选民对美国民主和经济深表担忧,0
朝鲜谴责美日韩举行联合空中演习,0
英国累计确诊3例猴痘病毒新毒株感染病例,0
以军轰炸加沙北部造成至少25人死亡,0
西班牙洪灾已致218人遇难,0
加沙人道状况雪上加霜 连美国也“差评”以色列,0
中国代表：解决朝鲜半岛问题的钥匙在美国手里,1
日本将于11月11日举行首相指名选举,1
以色列罕见承认空袭叙利亚,0
以军在约旦河西岸打死7名巴勒斯坦人,0
秘鲁中部发生6.0级地震,0
韩国一架无人机在执行侦察任务返回途中坠落,0
俄总统普京接受28国新任大使递交国书,1
以色列总理解除防长加兰特职务 称“信任已破裂”,0
外媒：加拿大印度教寺庙外发生暴力事件，莫迪、特鲁多发声谴责,0
埃及发现一座三千多年古墓 墓中珠宝等物品完好无损,2
黎东部巴勒贝克遭以军空袭 遗址古迹受损,0
苏里南总统：愿同中方高质量共建“一带一路”,2
美国法官裁定：马斯克“百万抽奖活动”可以继续,2
日本特别国会日程确定 将选出新任首相,1
美媒：哈里斯将在11月5日选举日接受电台采访,1
美国大选迫在眉睫“美式民主”原形毕露,0
以色列通知联合国取消与近东救济工程处合作协议,0
失踪人数不明 地下停车场成西班牙“世纪洪灾”焦点,0
叙利亚军方：大马士革南部遭以色列空袭,0
福岛核污染水第10次排放结束 累计已排近8万吨,0
日本首都圈深夜地震 东京等地有震感,0
印尼一火山喷发致10人遇难53人受伤 四座机场受影响,0
德国将向乌克兰提供2亿欧元的人道主义援助,2
联合国：黎巴嫩人道状况比2006年黎以冲突时更糟,0
美国大选最后冲刺 两党全力争夺“蓝墙”三州,1
选出首位非裔女党首，英国保守党向右转？,1
日媒：石破茂内阁支持率大幅下跌至38.9%,0
民调：韩国总统尹锡悦和执政党支持率齐创新低,0
以总理视察以黎边境 加沙北部医院遭袭,0
美国大选“月月惊奇”美国民众“步步惊心”,0
美国大选最后冲刺 两党全力争夺“蓝墙”三州,2
伊朗伊斯兰革命卫队副司令: 再次对以开展军事行动是“确定的”,0
初步结果显示桑杜在摩尔多瓦总统选举中获胜,2
主要产油国宣布延长自愿减产措施至12月底,1
玻利维亚政府称200多名士兵遭武装人员挟持,0
美媒：美国警告伊朗不要再次对以色列发动袭击,0
摩尔多瓦总统选举计票基本结束 现总统桑杜宣布胜选,2
苏丹北达尔富尔州两起袭击事件致18人死亡,0
加拿大过去十年间人口贩运呈上升趋势,0
朝俄最新商定：两国对话将在更多层级继续举行,2
西班牙洪灾遇难人数上升至211人,0
塞尔维亚火车站雨棚倒塌事故死亡人数升至14人,0
孟加拉国决定取消大米进口关税,1
2024世界青年科学家峰会欧洲专场活动在比利时举行,2
朝鲜外务相抵达莫斯科 与俄罗斯外长拉夫罗夫会谈,2
“东方宝石”抵达北京！日本归还中国16只朱鹮,2
乌前外交部长称“西方曾要求泽连斯基立遗嘱”,0
朝中社：朝鲜试射最新型“火星炮-19”型洲际弹道导弹,0
外媒：秘鲁国会批准美军入境提供APEC峰会安保支持,1
克宫回应“俄对谷歌罚款达35位数美元”,0
朝鲜试射洲际弹道导弹三问,0
泽连斯基证实美国拒绝给“战斧”,0
“东方宝石”抵达北京！日本归还中国16只朱鹮,2
朝鲜试射导弹为“火星炮-19”型洲际弹道导弹,0
数十辆被盗并走私到泰国的高端汽车被归还英国,2
西班牙洪灾死亡人数升至158人 全国哀悼,0
外媒：伊拉克民兵武装称袭击以色列“重要目标”,0
德国宣布关闭所有伊朗驻德领事馆 伊朗抗议,0
互放狠话？围绕袭击，以色列和伊朗方面再次表态,0
卡德罗夫：俄已就车臣军校遭袭对乌军进行报复,0
媒体：朝鲜试射洲际弹道导弹，金正恩现场指导,0
伊朗处决德国籍“恐怖分子”，德国宣布召回大使抗议,0
巴西圣保罗华商聚集区发生火灾 逾500商铺损毁,0
外媒：美英空袭也门 “大学附近地区被导弹击中”,0
以色列“封杀”近东救济工程处犯众怒,0
芬兰没收俄不动产　俄称将以法律手段回应,0
加拿大指认印度部长牵涉加境内锡克教人士遇害事件,0
美消费者因大肠杆菌污染对麦当劳提起集体诉讼,0
德国10月通胀率同比上涨2.0%,0
韩国联合参谋本部：朝鲜疑似发射洲际弹道导弹,0
司法改革后，墨西哥多名最高法院大法官请辞,0
供美军配件比市价贵近80倍？波音公司又摊上事！,0
墨西哥中部一钢厂发生爆炸致12人死亡,0
保加利亚年内第二次国民议会选举结果揭晓,1
美国俄勒冈州西部海域发生6.0级地震,0
巴西外长呼吁美国解除对古巴的经济封锁,2
俄专家：金砖机制在世界上的地位将逐年提升,2
黎真主党任命新领导人后，以色列防长：倒计时已经开始,0
世卫组织：全球结核病新增病例创有监测以来新高,0
美国明尼苏达州流浪汉营地接连发生枪案 致3死3伤,0
时隔约13年 日本女川核电站2号机组重启,1
民调：美国选民对大选深感不安 近八成选民担忧暴力事件,0
日本本州岛东部凌晨连发两起地震 多地有震感,0
加拿大运输署撤销针对中国大陆航司的限制措施,2
袭击佩洛西丈夫的男子被判终身监禁，不得假释,0
俄军进行战略威慑力量演习并发射三枚洲际导弹 普京发声,1
日本本州岛东部凌晨连发两起地震 多地有震感,0
俄罗斯驻朝鲜大使馆：朝鲜外务相崔善姬率团访俄,2
外媒：美大选投票箱接连被纵火 数百张选票受损,0
基辅市传出爆炸声 市长：无人机残骸坠落引发火灾,0
黎卫生部门：以军袭击贝卡谷地已致60人死亡,0
越南与阿联酋签署全面经济伙伴关系协定,2
以色列禁止联合国一救援机构开展活动 被批开危险先例！,0
国际识局：日本政坛变天，石破茂的“跛脚政府”还能走多远？,0
尼日利亚首都一建筑倒塌 至少7人死亡,0
乌兹别克斯坦议会下院选举初步结果揭晓,1
也门胡塞武装称对3艘商船发动袭击,0
伊朗外长：事前“收到”以色列袭击信息,0
晋城保利和光尘樾项目交付公告,1
自民党众院选举大败　石破茂政权前景堪忧,0
朝鲜国防省发言人：韩国军方是无人机渗透至平壤事件的“主体、肇事者”,0
玻利维亚前总统莫拉莱斯座驾遭枪击,0
日美军演出事故　自卫队“鱼鹰”受损,0
俄罗斯驻朝鲜大使馆：朝鲜外务相崔善姬率团访俄,2
新一轮巴以冲突已致加沙地带超4.3万人死亡 超10万人受伤,0
外媒：格鲁吉亚总统拒绝承认新一届议会选举结果,0
众议院选举失利后，日本首相发声,0
加拿大新斯科舍省中华会馆庆祝创会70周年,2
尼泊尔廓尔喀县报告超过1200名登革热病例,0
伊朗称将对以袭击作出回应 埃及提出加沙停火新提议,0
以色列特拉维夫一辆卡车冲向人群 至少40人受伤,0
朝中社：韩国无人机“入侵平壤”？朝鲜公布最终侦察结果,1
伊朗最高领袖首次回应以色列袭击,0
初步结果显示立陶宛反对党赢得议会选举,1
日本执政联盟未获众议院过半议席,0
朝中社：韩国无人机“入侵平壤”？朝鲜公布最终侦察结果,0
英国国王查尔斯三世计划明年恢复出访行程,1
伊朗东南部发生恐怖袭击 已致10名边境警察死亡,0
今年已有近3万人经英吉利海峡偷渡至英国,0
美国一宇航员返回地球后出现健康问题,0
以色列空袭黎巴嫩南部致3名媒体人员死亡,0
美国“龙”飞船载4名宇航员返回地球,1
冯德莱恩：欧盟扩大是其任期内“绝对优先事项”,2
以军总参谋长：已“彻底摧毁”黎真主党高层指挥系统,0
墨西哥沿岸近海发生5.9级地震，震源深度10千米,0
埃及北部一小型巴士与卡车相撞致7死10伤,0
美日在冲绳举行联合演习 遭当地民众强烈抗议,0
外媒：墨西哥南部犯罪集团火拼 已致16人死亡,0
德媒：德国8月以来扩大对以色列武器出口,0
芬兰税务局宣布将裁减200个工作岗位,0
苏丹冲突双方多处交火造成15名平民丧生,0
以军称与黎巴嫩真主党的作战有可能“彻底结束”,2
墨西哥南部犯罪集团火拼致7人死亡,0
加拿大将大幅减少移民吸纳数量 力图暂遏人口增长,0
黎巴嫩问题国际会议在巴黎举行 为黎募资10亿美元,2
波音制造的卫星在太空解体,0
以军继续猛炸黎巴嫩 布林肯斡旋陷“尴尬”,0
加拿大或将大幅削减移民人数,0
国防企业遇袭 土耳其打击叙伊境内库尔德工人党目标,0
俄媒：乌克兰前总统亚努科维奇之子获俄罗斯国籍,1
加拿大总理特鲁多回应党内“逼宫” 称将继续留任,1
俄方回应朝鲜向俄派兵：系韩国当局炒作,0
欧盟理事会批准向乌克兰提供350亿欧元贷款,2
日本自卫队“鱼鹰”在日美联合演习时紧急着陆,1
外媒：台风“潭美”袭击菲律宾 已造成24人死亡,0
俄媒：乌克兰前总统亚努科维奇之子获俄罗斯国籍,1
苏丹武装部队宣布收复中部一战略城市,2
黎巴嫩真主党向特拉维夫发射火箭弹,0
首届迪拜论坛在阿联酋举行,2
阿富汗首都喀布尔一市场发生爆炸 11人受伤,0
新西兰北岛第二大淡水湿地火灾已得到控制,2
美麦当劳汉堡大肠杆菌污染数十人感染1人死亡,0
联合国机构呼吁加沙北部临时停火,1
以军称打死纳斯鲁拉“接班人”,0
热带风暴“潭美”致菲律宾超38万人受灾,0
AIPPI世界知识产权大会通过《2024年AIPPI杭州决议》,2
日本千叶县确认高致病性禽流感疫情,0
外媒：叙境内美军基地遭袭 传出“巨大爆炸声”,0
希腊暴发绵羊痘疫情 政府采取措施防止疫情扩散,0
俄军两架图95战略轰炸机在日本海上空飞行,0
伊拉克宣布：伊境内“伊斯兰国”头目被击毙,2
乌干达中部一油罐车翻车爆炸已致11人死亡,0
外媒：叙境内美军基地遭袭 传出“巨大爆炸声”,0
美媒：比尔·盖茨私下已捐款5000万美元支持哈里斯,1
黎巴嫩真主党：将继续针对以总理发动袭击,0
奥地利总统授权现总理内哈默组建新政府,1
以军称黎真主党高级领导人萨菲丁已死亡,0
IMF预计今明两年全球经济增速均为3.2%,1
英国威尔士发生火车相撞事故 致1亡15伤,0
以军空袭黎巴嫩最大公立医院周边 至少13人死亡,0
苏丹中部多个城市和村庄遭袭致10余人死亡,0
地球观测组织推出全球生态系统地图集,2
德企宣布成立“欧洲数据中心”助力AI模型训练,2
国际货币基金组织：地缘政治裂痕影响全球经济增长前景,0
飓风“奥斯卡”在古巴造成至少6人死亡,0
布林肯再访中东 想给民主党“挣分”？,1
福岛核电站又出故障！关键数据传输系统宕机,0
黎巴嫩贝鲁特国际机场附近遭袭 航班被迫改道降落,0
突发！英国威尔士发生列车相撞事故 致1死15伤,0
外媒：飓风“奥斯卡”在古巴造成6人死亡,0
外媒：2024年意大利出生人数将创历史新低,0
否认派兵援俄消息 朝鲜代表称其为毫无根据的谣言,0
秘鲁前总统托莱多因涉腐被判处20年零6个月监禁,0
苏丹中部多个城市和村庄遭袭致10余人死亡,0
以军空袭贝鲁特南部医院附近至少4人死亡,0
美国宣布向乌克兰提供价值4亿美元额外军事援助,2
叙利亚首都一汽车遭以色列空袭致2死3伤,0
摩尔多瓦公投结果显示超过半数选民支持加入欧盟,2
中国驻曼德勒总领馆遭遇爆炸袭击 中方敦促缅方彻查,0
押宝特朗普 马斯克发钱搞“抽奖”引争议,1
以色列袭击伊朗计划泄露 美国会展开调查,0
韩国民调机构：尹锡悦支持率跌至新低,0
以军一名上校旅长在加沙被炸身亡,0
韩媒：韩国外交部召见俄驻韩大使 抗议朝鲜派兵援俄,0
日媒最新民调：日本众议院选举自民党恐失50席,0
外媒：俄罗斯袭击乌克兰哈尔科夫市 造成9人受伤,0
日媒最新民调：日本众议院选举自民党恐失50席,0
美国佐治亚州一码头舷梯垮塌致7死6重伤 拜登发声,0
以色列军方：一名指挥官在加沙北部身亡,0
韩媒：韩国外交部召见俄驻韩大使 抗议朝鲜派兵援俄,0
普拉博沃宣誓就任印度尼西亚第八任总统,2
连续两年衰退，德国经济怎么了？,0
德国警方拘留一男子 疑涉袭击以色列使馆图谋,0
背靠“大树”，加拿大过得好吗？,1
美国南部小岛码头局部坍塌 至少7人死亡,0
消息称“萨德”导弹防御系统已在以色列投入使用,1
摩尔多瓦将举行总统选举第二轮投票,1
联黎部队指责以军蓄意拆除其瞭望塔,0
美国新墨西哥州暴雨引发洪水至少2人死亡,0
伊拉克军方打死4名“伊斯兰国”武装分子,2
叙利亚总统：叙难民安全返回家园为优先事项,2
俄专家看好金砖国家多领域发展前景和优势,2
苏丹开始为140多万民众接种霍乱疫苗,2
以军轰炸加沙北部造成至少73人死亡,0
美国加州发生林火 多处建筑受损、数百名居民撤离,0
外媒：俄国防部称俄乌交换被俘人员 双方各移交95人,2
儿基会：苏丹约310万人面临感染霍乱风险,0
古巴一主要热电厂突发故障致全国停电,0
德国总理重申反对欧盟对华电动汽车加征关税,2
金正恩视察部队并要求继续加强战争能力,0
日美大规模联合军演在即 日本多个市民团体抗议！,0
伊朗回应辛瓦尔被杀：将增强该地区的“抵抗精神”,0
世卫组织：黎巴嫩面临战火与霍乱双重威胁,0
日本名古屋市中心发现美制未爆燃烧弹 重达250公斤,0
IMF总裁：低增长和高债务并存将拖累全球经济,0
以军确认打死哈马斯领导人辛瓦尔 哈马斯暂无回应,0
日本多地民众抗议日美即将举行大规模联合军演,0
欧洲央行下调三大关键利率25个基点,2
哈里斯三季度“吸金”超特朗普5亿美元,1
朝鲜完全封闭连接韩国的公路和铁路,0
美军一架战机坠毁　两名飞行员生死不明,0
自民党或无法在国会众议院选举中获得过半议席,0
联合国报告：全球11亿人极度贫困,0
研究人员开发出自带“开关”的新型胰岛素,2
欧盟16国：将对以色列施加最大压力,0
媒体曝以军强迫加沙平民作“人盾”,0
以军准备在加沙北部实施“投降或挨饿”计划吗？,0
加拿大政府新设水务局 强化淡水资源管理,2
秘鲁一监狱发生火灾致5人死亡35人受伤,0
韩媒：韩检方认定第一夫人金建希无操纵股价嫌疑,1
美防长：美军出动B-2轰炸机打击也门胡塞武装,0
北海道一养鸡场现禽流感疫情 日本首相发声,0
拜登宣布向乌克兰提供安全援助 价值4.25亿美元,2
日媒：日本首相石破茂向靖国神社供奉祭品,0
朝鲜发声：已完全封闭南部边境与韩国连接的公路和铁路,1
尼日利亚油罐车爆炸已致100多人死亡,0
联黎部队说其瞭望塔遭以军坦克袭击,0
港口罢工之争折射美国产业升级之困,0
日用品变少　韩国超市逐渐变身食品店,0
鄂霍次克海漂泊两个多月　俄一男子掉百斤体重幸存,2
肯尼亚给50头大象“搬家”,2
加沙人道状况或影响军援　美国对以色列“提要求”,0
就以黎冲突等议题　法以两国领导人隔空互怼,0
朝鲜全国140多万名青年报名参军或重返部队,1
美“摇摆州”佐治亚提前投票首日人数创纪录,2
中美做伙伴做朋友将造福两国惠及世界,2
印度航空一航班在加拿大伊魁特紧急降落,0
加拿大总理特鲁多任命安全情报局新“掌门”,1
外媒：马来西亚前总理马哈蒂尔，因肺部感染送医治,0
以军证实空袭贝鲁特南部，称其目标是地下武器库,0
韩媒：韩美高官会晤 讨论朝鲜问题应对方案,1
大熊猫“宝力”“青宝”抵达美国华盛顿动物园,2
